-128	962677
-124	291636
-120	1.12545E+06
-116	131824
-112	1.15113E+06
-108	1.09884E+06
-104	172619
-100	3.40391E+06
-96	-1.88319E+06
-92	2.35507E+06
-88	-746361
-84	29158.4
-80	546567
-76	154290
-72	304107
-68	-373000
-64	-327375
-60	492122
-56	-131337
-52	-1.22011E+06
-48	-1.13314E+06
-44	309537
-40	-2.40819E+06
-36	-3.90633E+06
-32	-1.06416E+06
-28	-2.25233E+06
-24	-4.24157E+06
-20	-1.91921E+06
-16	-3.4511E+06
-12	-2.54049E+07
-8	-2.94029E+07
-4	3.09498E+07
0	1.02403E+08
4	3.09498E+07
8	-2.94029E+07
12	-2.54049E+07
16	-3.4511E+06
20	-1.91921E+06
24	-4.24157E+06
28	-2.25233E+06
32	-1.06416E+06
36	-3.90633E+06
40	-2.40819E+06
44	309537
48	-1.13314E+06
52	-1.22011E+06
56	-131337
60	492122
64	-327375
68	-373000
72	304107
76	154290
80	546567
84	29158.4
88	-746361
92	2.35507E+06
96	-1.88319E+06
100	3.40391E+06
104	172619
108	1.09884E+06
112	1.15113E+06
116	131824
120	1.12545E+06
124	291636
128	962677
