-128	1.33048E+06
-124	1.20177E+06
-120	1.17368E+06
-116	2.00006E+06
-112	1.37035E+06
-108	1.15666E+06
-104	1.36541E+06
-100	3.15478E+06
-96	-1.91039E+06
-92	-3.08808E+06
-88	2.8833E+06
-84	4.82522E+06
-80	6.25273E+06
-76	8.7011E+06
-72	8.41653E+06
-68	9.62143E+06
-64	1.04237E+07
-60	3.39402E+06
-56	-1.00127E+07
-52	-1.70979E+07
-48	-2.35651E+07
-44	-1.56751E+07
-40	-3.05766E+07
-36	-5.6008E+07
-32	-6.11667E+07
-28	-5.92296E+07
-24	-6.77253E+07
-20	-8.47355E+07
-16	-1.38066E+08
-12	-1.73934E+08
-8	2.13108E+07
-4	4.67759E+08
0	7.75262E+08
4	4.67759E+08
8	2.13108E+07
12	-1.73934E+08
16	-1.38066E+08
20	-8.47355E+07
24	-6.77253E+07
28	-5.92296E+07
32	-6.11667E+07
36	-5.6008E+07
40	-3.05766E+07
44	-1.56751E+07
48	-2.35651E+07
52	-1.70979E+07
56	-1.00127E+07
60	3.39402E+06
64	1.04237E+07
68	9.62143E+06
72	8.41653E+06
76	8.7011E+06
80	6.25273E+06
84	4.82522E+06
88	2.8833E+06
92	-3.08808E+06
96	-1.91039E+06
100	3.15478E+06
104	1.36541E+06
108	1.15666E+06
112	1.37035E+06
116	2.00006E+06
120	1.17368E+06
124	1.20177E+06
128	1.33048E+06
